#Title: Galactic center X-ray sources (Muno+, 2009)
#INFO creator=Muno M.P.     First author or institution     
#INFO cites=bibcode:2009ApJS..181..110M     Article or Data origin sources     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/181/110     Dataset landing page     
#---Details of Columns:
#    CXOGC            (A15)   IAU name (HHMMSS.s-DDMMSS) [ucd=meta.id;meta.main]
#    RAJ2000 (deg)    (F9.5)  Right Ascension in degrees (J2000) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 (deg)    (F9.5)  Declination in degrees (J2000) [ucd=pos.eq.dec;meta.main]
#    Sflux (ph/cm2/s) (E8.1)  Photon flux 0.5-2.0keV [ucd=phot.flux;em.X-ray]
#    Hflux (ph/cm2/s) (E8.1)  Photon flux 2-8keV [ucd=phot.flux;em.X-ray]
#--------------- --------- --------- -------- --------
#                RAJ2      DEJ2      Sflux (p Hflux (p
#CXOGC           000 (deg) 000 (deg) h/cm2/s) h/cm2/s)
#--------------- --------- --------- -------- --------
174509.2-285703 266.28854 -28.95097  3.1e-08  7.2e-07
174509.2-285941 266.28854 -28.99492  2.1e-09  6.1e-07
174509.2-285946 266.28847 -28.99610 -7.8e-09  4.1e-07
174509.2-290111 266.28890 -29.01950 -1.3e-08  2.1e-07
174509.3-290106 266.28891 -29.01866  3.3e-08  3.1e-07
174509.3-290133 266.28900 -29.02584  1.8e-08  1.8e-07
174509.3-290209 266.28912 -29.03609  3.4e-08  3.2e-07
174509.4-290523 266.28946 -29.09010  8.7e-11  3.1e-07
174509.5-285502 266.28986 -28.91736  2.0e-08  4.5e-07
174509.5-285659 266.28950 -28.94962  2.0e-08  4.8e-07
174509.6-285631 266.29019 -28.94243 -4.0e-08  4.2e-07
174509.6-285831 266.28960 -28.97549  3.3e-08  2.3e-07
174509.6-290016 266.29041 -29.00465 -1.5e-08  1.8e-07
174509.9-285951 266.29146 -28.99763  1.1e-08  6.3e-07
174510.0-290344 266.29170 -29.06235  2.1e-09  5.9e-07
174510.1-285624 266.29216 -28.94013  1.4e-07 -5.3e-08
174510.1-285701 266.29233 -28.95036  1.1e-08  7.1e-07
174510.2-285505 266.29291 -28.91832  9.9e-08  4.5e-07
174510.2-285839 266.29266 -28.97755  3.0e-09  3.8e-07
174510.3-290642 266.29302 -29.11265  3.3e-08  3.3e-06
174510.4-285433 266.29352 -28.90924  5.3e-08  5.8e-07
174510.4-285544 266.29360 -28.92910  8.9e-09  5.0e-07
174510.4-285545 266.29361 -28.92910  6.3e-09  4.8e-07
174510.5-285535 266.29395 -28.92640 -2.2e-09  4.9e-07
174510.5-290543 266.29488 -29.09539 -7.4e-10  1.9e-07
174510.6-285437 266.29428 -28.91051 -2.8e-09  4.8e-07
174510.6-285936 266.29453 -28.99347  1.2e-08  3.0e-07
174510.6-290032 266.29452 -29.00885 -2.6e-08  3.5e-07
174510.8-285606 266.29523 -28.93524  1.8e-08  6.4e-07
174510.8-290327 266.29520 -29.05766  1.0e-07  1.8e-06
174510.8-290600 266.29523 -29.10002  2.0e-07  1.5e-07
174510.9-285508 266.29589 -28.91854 -4.0e-09  7.2e-07
174510.9-290156 266.29562 -29.03238  5.7e-08  1.2e-07
174510.9-290200 266.29547 -29.03354  2.6e-08  4.5e-08
174510.9-290214 266.29544 -29.03735 -1.6e-08  6.6e-07
